"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,2,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,24,2,929.88,0,467.99,0,64.16,0,100.28,0,0,0,0,0,0,0,0,0
1979,2,24,3,0,0,12.21,0,0,0,2.62,0,0,0,0,0,0,0,0,0
1979,2,24,4,0,0,1.72,0,0,0,0.37,0,0,0,0,0,0,0,0,0
1979,2,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,25,2,0,0,1222.42,0,0,0,685.75,0,0,0,0,0,0,0,0,0
1979,2,25,3,2626.81,0,3.25,0,181.25,0,1.82,0,0,0,0,0,0,0,0,0
1979,2,25,4,35.09,0,0.46,0,2.42,0,0.26,0,0,0,0,0,0,0,0,0
1979,2,25,5,149.26,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0
1979,3,3,2,0,0,444.78,0,0,0,29.65,0,0,0,0,0,0,0,0,0
1979,3,3,3,62.79,0,352.44,0,1.07,0,23.5,0,0,0,0,0,0,0,0,0
1979,3,3,4,1788.37,0,56.52,0,30.4,0,3.77,0,0,0,0,0,0,0,0,0
1979,3,3,5,420.23,0,2.57,0,7.14,0,0.17,0,0,0,0,0,0,0,0,0
1979,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,6,2,0,0,587.34,0,0,0,39.16,0,0,0,0,0,0,0,0,0
1979,3,6,3,154.96,0,22.66,0,2.63,0,1.51,0,0,0,0,0,0,0,0,0
1979,3,6,4,201.97,0,1.23,0,3.43,0,0.08,0,0,0,0,0,0,0,0,0
1979,3,6,5,0,0,2.11,0,0,0,0.14,0,0,0,0,0,0,0,0,0
1979,3,8,2,225.69,0,119.54,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,8,3,154.96,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,8,4,0,1620.02,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,8,5,0,353.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,9,2,496.52,0,217.93,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,9,3,413.23,0,31.15,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,11,4,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,11,5,0,918.28,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,12,2,0,0,253.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,12,3,413.23,0,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,12,4,0,3375.04,0,40.81,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,12,5,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
